record_id,region,category_title,videos_count,date
1,France,Autos & Vehicles,8,14/11/2017
2,France,Autos & Vehicles,2,15/11/2017
3,France,Autos & Vehicles,6,16/11/2017
4,France,Autos & Vehicles,8,17/11/2017
5,France,Autos & Vehicles,4,18/11/2017
6,France,Autos & Vehicles,10,19/11/2017
7,France,Autos & Vehicles,12,20/11/2017
8,France,Autos & Vehicles,8,21/11/2017
9,France,Autos & Vehicles,4,22/11/2017
10,France,Autos & Vehicles,6,23/11/2017
11,France,Autos & Vehicles,8,24/11/2017
12,France,Autos & Vehicles,8,25/11/2017
13,France,Autos & Vehicles,10,26/11/2017
14,France,Autos & Vehicles,26,27/11/2017
15,France,Autos & Vehicles,16,28/11/2017
16,France,Autos & Vehicles,4,29/11/2017
17,France,Autos & Vehicles,10,30/11/2017
18,France,Autos & Vehicles,12,01/12/2017
19,France,Autos & Vehicles,6,02/12/2017
20,France,Autos & Vehicles,4,03/12/2017
21,France,Autos & Vehicles,8,04/12/2017
22,France,Autos & Vehicles,8,05/12/2017
23,France,Autos & Vehicles,8,06/12/2017
24,France,Autos & Vehicles,6,07/12/2017
25,France,Autos & Vehicles,2,08/12/2017
26,France,Autos & Vehicles,4,09/12/2017
27,France,Autos & Vehicles,2,10/12/2017
28,France,Autos & Vehicles,4,12/12/2017
29,France,Autos & Vehicles,6,13/12/2017
30,France,Autos & Vehicles,4,14/12/2017
31,France,Autos & Vehicles,6,16/12/2017
32,France,Autos & Vehicles,4,17/12/2017
33,France,Autos & Vehicles,8,18/12/2017
34,France,Autos & Vehicles,8,19/12/2017
35,France,Autos & Vehicles,2,20/12/2017
36,France,Autos & Vehicles,6,21/12/2017
37,France,Autos & Vehicles,8,22/12/2017
38,France,Autos & Vehicles,8,23/12/2017
39,France,Autos & Vehicles,2,24/12/2017
40,France,Autos & Vehicles,4,26/12/2017
41,France,Autos & Vehicles,4,27/12/2017
42,France,Autos & Vehicles,10,28/12/2017
43,France,Autos & Vehicles,6,29/12/2017
44,France,Autos & Vehicles,6,30/12/2017
45,France,Autos & Vehicles,6,31/12/2017
46,France,Autos & Vehicles,2,01/01/2018
47,France,Autos & Vehicles,2,02/01/2018
48,France,Autos & Vehicles,4,03/01/2018
49,France,Autos & Vehicles,2,04/01/2018
50,France,Autos & Vehicles,8,05/01/2018
51,France,Autos & Vehicles,2,06/01/2018
52,France,Autos & Vehicles,6,08/01/2018
53,France,Autos & Vehicles,8,09/01/2018
54,France,Autos & Vehicles,10,12/01/2018
55,France,Autos & Vehicles,2,14/01/2018
56,France,Autos & Vehicles,2,15/01/2018
57,France,Autos & Vehicles,8,16/01/2018
58,France,Autos & Vehicles,2,17/01/2018
59,France,Autos & Vehicles,6,18/01/2018
60,France,Autos & Vehicles,6,19/01/2018
61,France,Autos & Vehicles,4,21/01/2018
